"","psnl_city","anul_clndr_code","txn_amt"
"1","abbotsford",2008,3502.57
"2","abbotsford",2009,26560.91
"3","abbotsford",2010,35463.01
"4","abbotsford",2011,22465.36
"5","abbotsford",2012,14988.67
"6","abbotsford",2013,17804.75
"7","abbotsford",2014,26465.58
"8","abbotsford",2015,28788.43
"9","abbotsford",2016,27862.39
"10","acton",2009,673.92
"11","acton",2010,23110.3
"12","acton",2011,15039.24
"13","acton",2012,10497.62
"14","acton",2013,13281.98
"15","acton",2014,12146.92
"16","acton",2015,31815.13
"17","acton",2016,25260.07
"18","airdrie",2010,56.69
"19","airdrie",2011,1968.78
"20","airdrie",2012,3248.27
"21","airdrie",2013,9487.08
"22","airdrie",2014,5005.12
"23","airdrie",2015,9446.28
"24","airdrie",2016,10895.93
"25","ajax",2008,2922.08
"26","ajax",2009,14965.01
"27","ajax",2010,49421.55
"28","ajax",2011,49140.98
"29","ajax",2012,74291.33
"30","ajax",2013,79401.93
"31","ajax",2014,55209.15
"32","ajax",2015,58729.7
"33","ajax",2016,37908.87
"34","albert bridge",2014,48.74
"35","albert bridge",2016,215.8
"36","aldergrove",2015,129.97
"37","aldergrove",2016,1574.97
"38","alexandria",2008,12302.91
"39","alexandria",2009,21267.09
"40","alexandria",2010,30912.09
"41","alexandria",2011,32126.37
"42","alexandria",2012,40502.26
"43","alexandria",2013,40784.13
"44","alexandria",2014,35237.1
"45","alexandria",2015,36303.53
"46","alexandria",2016,28375.88
"47","alliston",2009,2272.72
"48","alliston",2010,5778.71
"49","alliston",2011,12432.5
"50","alliston",2012,8483.3
"51","alliston",2013,14626.13
"52","alliston",2014,19725
"53","alliston",2015,17181.97
"54","alliston",2016,16912.84
"55","amherstburg",2011,215.07
"56","ancaster",2008,9121.03
"57","ancaster",2009,16044.75
"58","ancaster",2010,16082.13
"59","ancaster",2011,15972.05
"60","ancaster",2012,23377.41
"61","ancaster",2013,24807.41
"62","ancaster",2014,24485.28
"63","ancaster",2015,14518.78
"64","ancaster",2016,17719.49
"65","angus",2007,751.94
"66","angus",2008,25983.02
"67","angus",2009,35969.39
"68","angus",2010,42449.44
"69","angus",2011,40256.93
"70","angus",2012,54504.36
"71","angus",2013,56002.07
"72","angus",2014,62363.85
"73","angus",2015,67071.79
"74","angus",2016,44401.42
"75","apohaqui",2008,7891.73
"76","apohaqui",2009,13206.34
"77","apohaqui",2010,8619.23
"78","ardrossan",2008,9219.44
"79","ardrossan",2009,18515.07
"80","ardrossan",2010,24999.73
"81","ardrossan",2011,30518.96
"82","ardrossan",2012,31547.43
"83","ardrossan",2013,14690.02
"84","ardrossan",2014,1859.61
"85","ardrossan",2015,1443.89
"86","ardrossan",2016,933.74
"87","arnprior",2011,375.11
"88","arnprior",2012,4194.17
